SCHOOL_YEAR,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,grad_rate
2018-19,Public school,Yes,11.0,Burnett,2233,400.0,Combined Elementary/Secondary School,Grantsburg,iForward,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,147,110,0.7482993197278912
2018-19,Public school,No,7.0,Brown,2289,800.0,Combined Elementary/Secondary School,Green Bay Area Public,Dr Rosa Minoka-Hill School,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,35,5,0.14285714285714285
2018-19,Public school,No,7.0,Brown,2289,180.0,High School,Green Bay Area Public,East High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,356,297,0.8342696629213483
2018-19,Public school,No,7.0,Brown,2289,540.0,High School,Green Bay Area Public,Preble High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,507,456,0.8994082840236687
2018-19,Public school,No,7.0,Brown,2289,600.0,High School,Green Bay Area Public,Southwest High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,275,255,0.9272727272727272
2018-19,Public school,No,7.0,Brown,2289,720.0,High School,Green Bay Area Public,West High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,208,180,0.8653846153846154
2018-19,Public school,No,1.0,Milwaukee,2296,60.0,High School,Greendale,Greendale High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,226,218,0.9646017699115044
2018-19,Public school,No,1.0,Milwaukee,2303,120.0,High School,Greenfield,Greenfield High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,267,247,0.9250936329588015
2018-19,Public school,No,10.0,Clark,2394,60.0,High School,Greenwood,Greenwood High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,33,33,1.0
2018-19,Public school,No,8.0,Shawano,2415,400.0,High School,Gresham,Gresham High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,25,25,1.0
2018-19,Public school,No,1.0,Waukesha,2420,40.0,High School,Hamilton,Hamilton High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,389,383,0.9845758354755784
2018-19,Public school,No,6.0,Washington,2436,20.0,High School,Hartford UHS,Hartford High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,344,322,0.936046511627907
2018-19,Public school,No,12.0,Sawyer,2478,40.0,High School,Hayward Community,Hayward High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,120,108,0.9
2018-19,Public school,No,7.0,Calumet,2534,40.0,High School,Hilbert,Hilbert High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,34,34,1.0
2018-19,Public school,No,4.0,Vernon,2541,60.0,High School,Hillsboro,Hillsboro High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,42,39,0.9285714285714286
2018-19,Public school,No,4.0,La Crosse,2562,40.0,High School,Holmen,Holmen High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,282,277,0.9822695035460993
2018-19,Public school,No,6.0,Dodge,2576,60.0,High School,Horicon,Horicon High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,44,39,0.8863636363636364
2018-19,Public school,No,6.0,Outagamie,2583,40.0,High School,Hortonville Area,Hortonville High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,261,258,0.9885057471264368
2018-19,Public school,No,7.0,Brown,2604,20.0,High School,Howard-Suamico,Bay Port High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,443,415,0.9367945823927766
2018-19,Public school,No,7.0,Sheboygan,2605,60.0,High School,Howards Grove,Howards Grove High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,65,63,0.9692307692307692
2018-19,Public school,No,11.0,Saint Croix,2611,80.0,High School,Hudson,Hudson High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,439,421,0.958997722095672
2018-19,Public school,No,12.0,Iron,2618,60.0,High School,Hurley,Hurley High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,42,41,0.9761904761904762
2018-19,Public school,No,6.0,Dodge,2625,40.0,High School,Hustisford,Hustisford High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,43,40,0.9302325581395349
2018-19,Public school,No,4.0,Trempealeau,2632,40.0,High School,Independence,Independence High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,33,31,0.9393939393939394
